Frequency_Hz,Frequency_GHz,Er,h_mm,W_mm,L_mm,Leff_mm,dL_mm,eps_eff,G1_S,G12_S,Rin_edge_Ohm,Feed_W_mm,Feed_L_mm,Ground_L_mm,Ground_W_mm,min_S11_dB(theoretical)
17000000000,17,4.4,1.6,5.366114112,3.370551621,4.7167989,0.67312364,3.494530624,0.000969285,0.00049176,342.2207252,3.058974983,1.179199725,12.97055162,14.96611411,-2.556390483
17500000000,17.5,4.4,1.6,5.212796566,3.245844043,4.587930256,0.671043106,3.485553094,0.000969285,0.00049072,342.4643503,3.058974983,1.146982564,12.84584404,14.81279657,-2.554545556
18000000000,18,4.4,1.6,5.067996661,3.128093161,4.46605203,0.668979435,3.476873161,0.000969285,0.000489711,342.7012239,3.058974983,1.116513008,12.72809316,14.66799666,-2.552754328
18500000000,18.5,4.4,1.6,4.931023778,3.016740256,4.350605564,0.666932654,3.468474739,0.000969285,0.000488731,342.9316646,3.058974983,1.087651391,12.61674026,14.53102378,-2.551014171
19000000000,19,4.4,1.6,4.801259995,2.911284915,4.24109046,0.664902772,3.460342931,0.000969285,0.000487778,343.1559701,3.058974983,1.060272615,12.51128492,14.40125999,-2.549322637
19500000000,19.5,4.4,1.6,4.678150764,2.811277602,4.137057159,0.662889779,3.452463924,0.000969285,0.000486851,343.3744186,3.058974983,1.03426429,12.4112776,14.27815076,-2.547677442
20000000000,20,4.4,1.6,4.561196995,2.716313335,4.038100623,0.660893644,3.444824886,0.000969285,0.000485949,343.5872708,3.058974983,1.009525156,12.31631333,14.16119699,-2.546076451
20500000000,20.5,4.4,1.6,4.449948288,2.626026295,3.943854946,0.658914326,3.437413876,0.000969285,0.000485071,343.7947708,3.058974983,0.985963736,12.22602629,14.04994829,-2.544517665
21000000000,21,4.4,1.6,4.343997138,2.54008519,3.853988723,0.656951767,3.430219773,0.000969285,0.000484215,343.9971479,3.058974983,0.963497181,12.14008519,13.94399714,-2.542999215
21500000000,21.5,4.4,1.6,4.242973949,2.458189271,3.768201068,0.655005898,3.423232196,0.000969285,0.000483381,344.1946175,3.058974983,0.942050267,12.05818927,13.84297395,-2.541519344
22000000000,22,4.4,1.6,4.146542723,2.380064885,3.686218167,0.653076641,3.416441451,0.000969285,0.000482568,344.3873824,3.058974983,0.921554542,11.98006489,13.74654272,-2.540076403
22500000000,22.5,4.4,1.6,4.054397329,2.305462484,3.607790297,0.651163907,3.409838467,0.000969285,0.000481775,344.5756335,3.058974983,0.901947574,11.90546248,13.65439733,-2.538668843
23000000000,23,4.4,1.6,3.966258256,2.234154024,3.53268922,0.649267598,3.403414747,0.000969285,0.000481001,344.7595507,3.058974983,0.883172305,11.83415402,13.56625826,-2.537295203
23500000000,23.5,4.4,1.6,3.881869783,2.165930696,3.460705917,0.64738761,3.397162325,0.000969285,0.000480245,344.9393041,3.058974983,0.865176479,11.7659307,13.48186978,-2.535954108
24000000000,24,4.4,1.6,3.800997496,2.100600935,3.391648602,0.645523833,3.39107372,0.000969285,0.000479507,345.1150541,3.058974983,0.84791215,11.70060094,13.4009975,-2.53464426
24500000000,24.5,4.4,1.6,3.723426118,2.037988675,3.325340974,0.64367615,3.385141901,0.000969285,0.000478785,345.2869526,3.058974983,0.831335244,11.63798867,13.32342612,-2.533364435
25000000000,25,4.4,1.6,3.648957596,1.977931808,3.261620685,0.641844439,3.379360252,0.000969285,0.00047808,345.4551434,3.058974983,0.815405171,11.57793181,13.2489576,-2.532113475
25500000000,25.5,4.4,1.6,3.577409408,1.92028083,3.200337978,0.640028574,3.373722544,0.000969285,0.000477391,345.6197625,3.058974983,0.800084494,11.52028083,13.17740941,-2.530890283
26000000000,26,4.4,1.6,3.508613073,1.864897635,3.141354487,0.638228426,3.3682229,0.000969285,0.000476717,345.7809392,3.058974983,0.785338622,11.46489764,13.10861307,-2.529693823
26500000000,26.5,4.4,1.6,3.442412826,1.81165445,3.084542172,0.636443861,3.362855776,0.000969285,0.000476057,345.9387959,3.058974983,0.771135543,11.41165445,13.04241283,-2.528523111
27000000000,27,4.4,1.6,3.378664441,1.760432883,3.029782373,0.634674745,3.357615934,0.000969285,0.000475411,346.0934492,3.058974983,0.757445593,11.36043288,12.97866444,-2.527377215
27500000000,27.5,4.4,1.6,3.317234178,1.711123079,2.976964957,0.632920939,3.352498421,0.000969285,0.000474779,346.2450097,3.058974983,0.744241239,11.31112308,12.91723418,-2.526255249
